
Episode 1: steps = 199, reward = 0, avg_plan_time = 0.02937737699598074, avg_dist = 0.6526316017797931
Episode 2: steps = 199, reward = 0, avg_plan_time = 0.03394151703454554, avg_dist = 0.4070301457847211
Episode 3: steps = 199, reward = -200, avg_plan_time = 0.03240156508982182, avg_dist = 0.19528811176828267
Episode 4: steps = 82, reward = 100, avg_plan_time = 0.03300562269806144, avg_dist = 0.4057572774368136
Episode 5: steps = 199, reward = 0, avg_plan_time = 0.03312055845744908, avg_dist = 0.13525230927984155
Episode 6: steps = 199, reward = 0, avg_plan_time = 0.032995720226317644, avg_dist = 0.09718611521652601
Episode 7: steps = 199, reward = 0, avg_plan_time = 0.032385287964716555, avg_dist = 0.18670817500090564
Episode 8: steps = 199, reward = 0, avg_plan_time = 0.02935517705976963, avg_dist = 0.1897015720930153
Episode 9: steps = 199, reward = 0, avg_plan_time = 0.02742602001875639, avg_dist = 0.28460404649674564
Episode 10: steps = 199, reward = 0, avg_plan_time = 0.027629352640360594, avg_dist = 0.09151507948104491
Episode 11: steps = 199, reward = 0, avg_plan_time = 0.031391033632680775, avg_dist = 0.22765353559728116
Episode 12: steps = 199, reward = 0, avg_plan_time = 0.03091791592538357, avg_dist = 0.11354117030579584
Episode 13: steps = 199, reward = 0, avg_plan_time = 0.0332539919950068, avg_dist = 0.20781852707661144
Episode 14: steps = 199, reward = 0, avg_plan_time = 0.02709629322402179, avg_dist = 0.07464940886991002
Episode 15: steps = 199, reward = 0, avg_plan_time = 0.03037548325024545, avg_dist = 0.11923951265653258
Episode 16: steps = 199, reward = 0, avg_plan_time = 0.03374001752585173, avg_dist = 0.05767624087707518
Episode 17: steps = 199, reward = 0, avg_plan_time = 0.03234325150027871, avg_dist = 0.06633231139062233
Episode 18: steps = 20, reward = 100, avg_plan_time = 0.031047233868212926, avg_dist = 0.11234044025096447
Episode 19: steps = 199, reward = 0, avg_plan_time = 0.032614655382931235, avg_dist = 0.05864137752060325
Episode 20: steps = 199, reward = 0, avg_plan_time = 0.0316423455812037, avg_dist = 0.10976425868699083
Episode 21: steps = 199, reward = -700, avg_plan_time = 0.031328134257346395, avg_dist = 0.20913612306104715
Episode 22: steps = 69, reward = 100, avg_plan_time = 0.03413913372371878, avg_dist = 0.32516123339093134
Episode 23: steps = 31, reward = 100, avg_plan_time = 0.033088105090428144, avg_dist = 0.3001301841394278
